split,method,pool,candidate_auc_raw,candidate_auc_calibrated,raw_episodes,raw_episodes_with_success,raw_episodes_without_success,raw_first_success_rank_mean,raw_first_success_rank_median,raw_near_miss_failure_count,raw_top1_success_recall,raw_top3_success_recall,raw_top5_success_recall,raw_top10_success_recall,raw_top30_success_recall,cal_episodes,cal_episodes_with_success,cal_episodes_without_success,cal_first_success_rank_mean,cal_first_success_rank_median,cal_near_miss_failure_count,cal_top1_success_recall,cal_top3_success_recall,cal_top5_success_recall,cal_top10_success_recall,cal_top30_success_recall
splitA_train42_44_val45_47,bce_preserve,stateroll,0.4975002257445411,0.6750790996990865,300,235,65,3.1617021276595745,1.0,70,55.00000000000001,63.33333333333333,67.33333333333333,72.0,78.33333333333333,300,235,65,2.3957446808510636,1.0,78,52.33333333333333,68.66666666666667,72.33333333333334,75.33333333333333,78.33333333333333
splitA_train42_44_val45_47,bce_preserve,union,0.6486730886715723,0.8217190445043443,300,285,15,3.863157894736842,1.0,58,75.66666666666667,82.33333333333334,84.0,86.0,90.33333333333333,300,285,15,3.491228070175439,1.0,47,79.33333333333333,86.0,87.33333333333333,88.66666666666667,89.66666666666666
splitA_train42_44_val45_47,bce_pairwise_preserve,bsl,0.6624893792847518,0.8770426343017382,300,266,34,1.6428571428571428,1.0,20,82.0,84.33333333333334,85.66666666666667,86.66666666666667,88.66666666666667,300,266,34,1.605263157894737,1.0,21,81.66666666666667,85.0,85.66666666666667,86.0,88.66666666666667
splitA_train42_44_val45_47,bce_pairwise_preserve,stateroll,0.4975002257445411,0.6767204506336293,300,235,65,3.1617021276595745,1.0,70,55.00000000000001,63.33333333333333,67.33333333333333,72.0,78.33333333333333,300,235,65,2.7787234042553193,1.0,69,55.333333333333336,63.66666666666667,69.0,74.0,78.33333333333333
splitA_train42_44_val45_47,bce_pairwise_preserve,union,0.6486730886715723,0.8211686249540741,300,285,15,3.863157894736842,1.0,58,75.66666666666667,82.33333333333334,84.0,86.0,90.33333333333333,300,285,15,3.617543859649123,1.0,37,82.66666666666667,86.0,86.66666666666667,87.0,89.66666666666666
splitA_train42_44_val45_47,bce_listwise_preserve,bsl,0.6624893792847518,0.8747174931877747,300,266,34,1.6428571428571428,1.0,20,82.0,84.33333333333334,85.66666666666667,86.66666666666667,88.66666666666667,300,266,34,1.413533834586466,1.0,31,78.33333333333333,85.0,86.66666666666667,87.66666666666667,88.66666666666667
splitA_train42_44_val45_47,bce_listwise_preserve,stateroll,0.4975002257445411,0.6814888090114053,300,235,65,3.1617021276595745,1.0,70,55.00000000000001,63.33333333333333,67.33333333333333,72.0,78.33333333333333,300,235,65,2.5106382978723403,1.0,77,52.666666666666664,67.66666666666666,71.33333333333334,74.66666666666667,78.33333333333333
splitA_train42_44_val45_47,bce_listwise_preserve,union,0.6486730886715723,0.8231944140257281,300,285,15,3.863157894736842,1.0,58,75.66666666666667,82.33333333333334,84.0,86.0,90.33333333333333,300,285,15,3.487719298245614,1.0,48,79.0,86.0,87.66666666666667,88.66666666666667,89.66666666666666
splitA_train42_44_val45_47,bce_pairwise_listwise,bsl,0.6624893792847518,0.9139169711465653,300,266,34,1.6428571428571428,1.0,20,82.0,84.33333333333334,85.66666666666667,86.66666666666667,88.66666666666667,300,266,34,1.6466165413533835,1.0,21,81.66666666666667,85.0,85.66666666666667,86.0,88.66666666666667
splitA_train42_44_val45_47,bce_pairwise_listwise,stateroll,0.4975002257445411,0.6887195155759773,300,235,65,3.1617021276595745,1.0,70,55.00000000000001,63.33333333333333,67.33333333333333,72.0,78.33333333333333,300,235,65,2.851063829787234,1.0,69,55.333333333333336,63.33333333333333,69.0,73.66666666666667,78.33333333333333
splitA_train42_44_val45_47,bce_pairwise_listwise,union,0.6486730886715723,0.8529741450102392,300,285,15,3.863157894736842,1.0,58,75.66666666666667,82.33333333333334,84.0,86.0,90.33333333333333,300,285,15,3.4596491228070176,1.0,38,82.33333333333334,86.0,86.66666666666667,87.33333333333333,90.0
splitA_train42_44_val45_47,full_bce_pairwise_listwise_preserve,bsl,0.6624893792847518,0.8758284599294769,300,266,34,1.6428571428571428,1.0,20,82.0,84.33333333333334,85.66666666666667,86.66666666666667,88.66666666666667,300,266,34,1.4774436090225564,1.0,25,80.33333333333333,84.66666666666667,85.0,87.66666666666667,88.66666666666667
splitA_train42_44_val45_47,full_bce_pairwise_listwise_preserve,stateroll,0.4975002257445411,0.6838547207143983,300,235,65,3.1617021276595745,1.0,70,55.00000000000001,63.33333333333333,67.33333333333333,72.0,78.33333333333333,300,235,65,2.7106382978723405,1.0,67,56.00000000000001,64.33333333333333,70.33333333333334,73.66666666666667,78.33333333333333
splitA_train42_44_val45_47,full_bce_pairwise_listwise_preserve,union,0.6486730886715723,0.8230862035069212,300,285,15,3.863157894736842,1.0,58,75.66666666666667,82.33333333333334,84.0,86.0,90.33333333333333,300,285,15,3.543859649122807,1.0,41,81.33333333333333,85.66666666666667,86.0,88.66666666666667,89.66666666666666
splitA_train42_44_val45_47,legacy_rank_combined,bsl,0.6624893792847518,0.37682454197199927,300,266,34,1.6428571428571428,1.0,20,82.0,84.33333333333334,85.66666666666667,86.66666666666667,88.66666666666667,300,266,34,1.4548872180451127,1.0,23,81.0,84.33333333333334,86.0,87.66666666666667,88.66666666666667
splitA_train42_44_val45_47,legacy_rank_combined,stateroll,0.4975002257445411,0.5313146787813596,300,235,65,3.1617021276595745,1.0,70,55.00000000000001,63.33333333333333,67.33333333333333,72.0,78.33333333333333,300,235,65,2.8638297872340424,1.0,68,55.666666666666664,63.66666666666667,70.0,72.33333333333334,78.33333333333333
splitA_train42_44_val45_47,legacy_rank_combined,union,0.6486730886715723,0.6700109880981734,300,285,15,3.863157894736842,1.0,58,75.66666666666667,82.33333333333334,84.0,86.0,90.33333333333333,300,285,15,3.550877192982456,1.0,39,82.0,85.33333333333334,87.0,88.66666666666667,89.66666666666666
splitB_train45_47_val42_44,bce,bsl,0.5900077485447156,0.9346828753089161,300,265,35,1.7320754716981133,1.0,25,80.0,82.66666666666667,83.66666666666667,85.66666666666667,88.33333333333333,300,265,35,1.6339622641509435,1.0,29,78.66666666666666,82.0,84.33333333333334,86.33333333333333,88.33333333333333
splitB_train45_47_val42_44,bce,stateroll,0.4903915391952305,0.6891710815649301,300,235,65,3.5914893617021275,1.0,68,55.666666666666664,62.66666666666667,65.0,71.0,78.33333333333333,300,235,65,3.1319148936170214,1.0,72,54.333333333333336,62.0,68.0,72.66666666666667,78.33333333333333
splitB_train45_47_val42_44,bce,union,0.612838432151077,0.8588683793873098,300,283,17,4.717314487632509,1.0,65,72.66666666666667,78.0,80.0,82.66666666666667,87.0,300,283,17,3.392226148409894,1.0,48,78.33333333333333,82.0,85.0,87.33333333333333,89.33333333333333
splitB_train45_47_val42_44,bce_pairwise,bsl,0.5900077485447156,0.9323233929123065,300,265,35,1.7320754716981133,1.0,25,80.0,82.66666666666667,83.66666666666667,85.66666666666667,88.33333333333333,300,265,35,1.7132075471698114,1.0,26,79.66666666666666,83.33333333333334,83.66666666666667,85.66666666666667,88.33333333333333
splitB_train45_47_val42_44,bce_pairwise,stateroll,0.4903915391952305,0.6842897869698593,300,235,65,3.5914893617021275,1.0,68,55.666666666666664,62.66666666666667,65.0,71.0,78.33333333333333,300,235,65,3.4340425531914893,1.0,65,56.666666666666664,62.33333333333333,65.33333333333333,71.33333333333334,78.33333333333333
splitB_train45_47_val42_44,bce_pairwise,union,0.612838432151077,0.8537405474406435,300,283,17,4.717314487632509,1.0,65,72.66666666666667,78.0,80.0,82.66666666666667,87.0,300,283,17,3.1554770318021204,1.0,45,79.33333333333333,83.66666666666667,84.33333333333334,87.33333333333333,91.0
splitB_train45_47_val42_44,bce_listwise,bsl,0.5900077485447156,0.9343995262482141,300,265,35,1.7320754716981133,1.0,25,80.0,82.66666666666667,83.66666666666667,85.66666666666667,88.33333333333333,300,265,35,1.4566037735849056,1.0,27,79.33333333333333,82.66666666666667,85.33333333333334,87.0,88.33333333333333
splitB_train45_47_val42_44,bce_listwise,stateroll,0.4903915391952305,0.692595848031397,300,235,65,3.5914893617021275,1.0,68,55.666666666666664,62.66666666666667,65.0,71.0,78.33333333333333,300,235,65,2.8595744680851065,1.0,77,52.666666666666664,65.0,68.66666666666667,73.33333333333333,78.33333333333333
splitB_train45_47_val42_44,bce_listwise,union,0.612838432151077,0.8597917919620376,300,283,17,4.717314487632509,1.0,65,72.66666666666667,78.0,80.0,82.66666666666667,87.0,300,283,17,3.2508833922261484,1.0,46,79.0,83.0,86.0,88.0,89.33333333333333
splitB_train45_47_val42_44,bce_preserve,bsl,0.5900077485447156,0.9177175294194309,300,265,35,1.7320754716981133,1.0,25,80.0,82.66666666666667,83.66666666666667,85.66666666666667,88.33333333333333,300,265,35,1.4490566037735848,1.0,28,79.0,82.66666666666667,85.33333333333334,87.0,88.33333333333333
splitB_train45_47_val42_44,bce_preserve,stateroll,0.4903915391952305,0.6842757933431126,300,235,65,3.5914893617021275,1.0,68,55.666666666666664,62.66666666666667,65.0,71.0,78.33333333333333,300,235,65,2.5446808510638297,1.0,92,47.66666666666667,64.0,71.33333333333334,75.66666666666667,78.33333333333333
splitB_train45_47_val42_44,bce_preserve,union,0.612838432151077,0.8392656427809176,300,283,17,4.717314487632509,1.0,65,72.66666666666667,78.0,80.0,82.66666666666667,87.0,300,283,17,3.197879858657244,1.0,46,79.0,82.66666666666667,85.66666666666667,87.66666666666667,89.33333333333333
splitB_train45_47_val42_44,bce_pairwise_preserve,bsl,0.5900077485447156,0.9195649170270688,300,265,35,1.7320754716981133,1.0,25,80.0,82.66666666666667,83.66666666666667,85.66666666666667,88.33333333333333,300,265,35,1.6603773584905661,1.0,25,80.0,83.0,84.33333333333334,86.33333333333333,88.33333333333333
splitB_train45_47_val42_44,bce_pairwise_preserve,stateroll,0.4903915391952305,0.6891569390698139,300,235,65,3.5914893617021275,1.0,68,55.666666666666664,62.66666666666667,65.0,71.0,78.33333333333333,300,235,65,3.3872340425531915,1.0,65,56.666666666666664,62.0,66.0,71.0,78.33333333333333
splitB_train45_47_val42_44,bce_pairwise_preserve,union,0.612838432151077,0.8387379746715338,300,283,17,4.717314487632509,1.0,65,72.66666666666667,78.0,80.0,82.66666666666667,87.0,300,283,17,3.3886925795053005,1.0,41,80.66666666666666,83.66666666666667,85.0,87.33333333333333,89.33333333333333
splitB_train45_47_val42_44,bce_listwise_preserve,bsl,0.5900077485447156,0.9209830952909603,300,265,35,1.7320754716981133,1.0,25,80.0,82.66666666666667,83.66666666666667,85.66666666666667,88.33333333333333,300,265,35,1.4641509433962263,1.0,29,78.66666666666666,82.66666666666667,85.33333333333334,87.0,88.33333333333333
splitB_train45_47_val42_44,bce_listwise_preserve,stateroll,0.4903915391952305,0.6888792995604265,300,235,65,3.5914893617021275,1.0,68,55.666666666666664,62.66666666666667,65.0,71.0,78.33333333333333,300,235,65,2.548936170212766,1.0,84,50.33333333333333,65.33333333333333,70.66666666666667,75.66666666666667,78.33333333333333
splitB_train45_47_val42_44,bce_listwise_preserve,union,0.612838432151077,0.841046830326357,300,283,17,4.717314487632509,1.0,65,72.66666666666667,78.0,80.0,82.66666666666667,87.0,300,283,17,3.243816254416961,1.0,47,78.66666666666666,82.66666666666667,85.33333333333334,87.66666666666667,89.33333333333333
splitB_train45_47_val42_44,bce_pairwise_listwise,bsl,0.5900077485447156,0.9345668055180136,300,265,35,1.7320754716981133,1.0,25,80.0,82.66666666666667,83.66666666666667,85.66666666666667,88.33333333333333,300,265,35,1.6716981132075472,1.0,26,79.66666666666666,82.66666666666667,84.0,86.66666666666667,88.33333333333333
splitB_train45_47_val42_44,bce_pairwise_listwise,stateroll,0.4903915391952305,0.6949149194937225,300,235,65,3.5914893617021275,1.0,68,55.666666666666664,62.66666666666667,65.0,71.0,78.33333333333333,300,235,65,3.348936170212766,1.0,65,56.666666666666664,62.0,66.66666666666666,70.33333333333334,78.33333333333333
splitB_train45_47_val42_44,bce_pairwise_listwise,union,0.612838432151077,0.8590434968094764,300,283,17,4.717314487632509,1.0,65,72.66666666666667,78.0,80.0,82.66666666666667,87.0,300,283,17,3.4487632508833923,1.0,45,79.33333333333333,83.0,84.66666666666667,87.0,89.66666666666666
splitB_train45_47_val42_44,full_bce_pairwise_listwise_preserve,bsl,0.5900077485447156,0.9215339554292002,300,265,35,1.7320754716981133,1.0,25,80.0,82.66666666666667,83.66666666666667,85.66666666666667,88.33333333333333,300,265,35,1.5849056603773586,1.0,28,79.0,82.66666666666667,84.33333333333334,87.0,88.33333333333333
splitB_train45_47_val42_44,full_bce_pairwise_listwise_preserve,stateroll,0.4903915391952305,0.6954890551726524,300,235,65,3.5914893617021275,1.0,68,55.666666666666664,62.66666666666667,65.0,71.0,78.33333333333333,300,235,65,3.2382978723404254,1.0,65,56.666666666666664,62.66666666666667,67.33333333333333,71.0,78.33333333333333
splitB_train45_47_val42_44,full_bce_pairwise_listwise_preserve,union,0.612838432151077,0.8416067614354568,300,283,17,4.717314487632509,1.0,65,72.66666666666667,78.0,80.0,82.66666666666667,87.0,300,283,17,3.363957597173145,1.0,45,79.33333333333333,83.66666666666667,85.33333333333334,88.0,89.33333333333333
splitB_train45_47_val42_44,legacy_rank_combined,bsl,0.5900077485447156,0.30662350489438933,300,265,35,1.7320754716981133,1.0,25,80.0,82.66666666666667,83.66666666666667,85.66666666666667,88.33333333333333,300,265,35,1.6981132075471699,1.0,26,79.66666666666666,83.33333333333334,84.33333333333334,86.33333333333333,88.33333333333333
splitB_train45_47_val42_44,legacy_rank_combined,stateroll,0.4903915391952305,0.613070265721604,300,235,65,3.5914893617021275,1.0,68,55.666666666666664,62.66666666666667,65.0,71.0,78.33333333333333,300,235,65,3.3574468085106384,1.0,64,56.99999999999999,62.0,66.0,71.0,78.33333333333333
splitB_train45_47_val42_44,legacy_rank_combined,union,0.612838432151077,0.6636084439548621,300,283,17,4.717314487632509,1.0,65,72.66666666666667,78.0,80.0,82.66666666666667,87.0,300,283,17,3.512367491166078,1.0,43,80.0,83.66666666666667,84.66666666666667,87.0,89.0
