split,index_set,position,eval_index,bucket,raw_top1,residual_top1,raw_oracle,residual_oracle,delta_norm
splitB_train45_47_val42_44,confirm50_all50,15,1015425,both_fail,0,0,0,0,8.628900527954102
splitB_train45_47_val42_44,confirm50_all50,16,1028336,both_fail,0,0,1,1,2.488173007965088
splitB_train45_47_val42_44,confirm50_all50,17,1038327,raw_fail_residual_success,0,1,1,1,3.3476884365081787
splitB_train45_47_val42_44,confirm50_all50,18,1043460,both_success,1,1,1,1,2.29471492767334
splitB_train45_47_val42_44,confirm50_all50,19,1054182,both_success,1,1,1,1,2.338371515274048
splitB_train45_47_val42_44,confirm50_all50,20,1054375,both_fail,0,0,0,0,3.0098414421081543
splitB_train45_47_val42_44,confirm50_all50,21,1175223,both_fail,0,0,0,0,2.757254123687744
splitB_train45_47_val42_44,confirm50_all50,22,1206116,both_fail,0,0,0,0,2.9415507316589355
splitB_train45_47_val42_44,confirm50_all50,23,1237214,both_success,1,1,1,1,2.125347137451172
splitB_train45_47_val42_44,confirm50_all50,24,1279178,both_success,1,1,1,1,1.641324758529663
splitB_train45_47_val42_44,confirm50_all50,25,1299073,both_fail,0,0,1,1,4.023009300231934
splitB_train45_47_val42_44,confirm50_all50,26,1475334,both_success,1,1,1,1,1.5284956693649292
splitB_train45_47_val42_44,confirm50_all50,27,1504936,both_success,1,1,1,1,1.9609270095825195
splitB_train45_47_val42_44,confirm50_all50,28,1529287,both_success,1,1,1,1,2.1444129943847656
splitB_train45_47_val42_44,confirm50_all50,29,1582218,both_success,1,1,1,1,1.6923547983169556
splitB_train45_47_val42_44,confirm50_all50,30,1627801,both_success,1,1,1,1,1.7881869077682495
splitB_train45_47_val42_44,confirm50_all50,31,1635424,both_fail,0,0,0,0,1.5245305299758911
splitB_train45_47_val42_44,confirm50_all50,32,1673952,both_fail,0,0,0,0,3.0731213092803955
splitB_train45_47_val42_44,confirm50_all50,33,1715192,both_fail,0,0,0,0,2.162033796310425
splitB_train45_47_val42_44,confirm50_all50,34,1768147,both_success,1,1,1,1,3.508188247680664
splitB_train45_47_val42_44,confirm50_all50,35,1775706,both_fail,0,0,0,0,2.6341381072998047
splitB_train45_47_val42_44,confirm50_all50,36,1805133,both_success,1,1,1,1,3.937366485595703
splitB_train45_47_val42_44,confirm50_all50,37,1816073,both_success,1,1,1,1,1.8343957662582397
splitB_train45_47_val42_44,confirm50_all50,38,1823056,both_success,1,1,1,1,2.486748456954956
splitB_train45_47_val42_44,confirm50_all50,39,1832756,both_fail,0,0,0,0,3.0437023639678955
splitB_train45_47_val42_44,confirm50_all50,40,1920150,both_success,1,1,1,1,2.2784337997436523
splitB_train45_47_val42_44,confirm50_all50,41,1933212,both_success,1,1,1,1,2.517815351486206
splitB_train45_47_val42_44,confirm50_all50,42,1962500,both_fail,0,0,1,1,2.178567886352539
splitB_train45_47_val42_44,confirm50_all50,43,2005033,both_fail,0,0,0,0,2.9000375270843506
splitB_train45_47_val42_44,confirm50_all50,44,2005680,both_success,1,1,1,1,4.111316204071045
splitB_train45_47_val42_44,confirm50_all50,45,2069969,both_fail,0,0,0,0,2.0533807277679443
splitB_train45_47_val42_44,confirm50_all50,46,2083086,both_fail,0,0,0,0,1.9765205383300781
splitB_train45_47_val42_44,confirm50_all50,47,2164264,both_fail,0,0,0,0,4.210480213165283
splitB_train45_47_val42_44,confirm50_all50,48,2263297,both_fail,0,0,0,0,2.9809508323669434
splitB_train45_47_val42_44,confirm50_all50,49,2275346,both_success,1,1,1,1,1.9082471132278442
