split,method,stage,pool,candidate_auc_raw,candidate_auc_calibrated,raw_episodes,raw_episodes_with_success,raw_episodes_without_success,raw_first_success_rank_mean,raw_first_success_rank_median,raw_near_miss_failure_count,raw_top1_success_recall,raw_top3_success_recall,raw_top5_success_recall,raw_top10_success_recall,raw_top30_success_recall,cal_episodes,cal_episodes_with_success,cal_episodes_without_success,cal_first_success_rank_mean,cal_first_success_rank_median,cal_near_miss_failure_count,cal_top1_success_recall,cal_top3_success_recall,cal_top5_success_recall,cal_top10_success_recall,cal_top30_success_recall
splitB_train45_47_val42_44,bce,val,stateroll,0.4903915391952305,0.6886616043812159,300,235,65,3.5914893617021275,1.0,68,55.666666666666664,62.66666666666667,65.0,71.0,78.33333333333333,300,235,65,3.157446808510638,1.0,73,54.0,62.33333333333333,67.0,72.0,78.33333333333333
splitB_train45_47_val42_44,bce,val,union,0.612838432151077,0.857134937905437,300,283,17,4.717314487632509,1.0,65,72.66666666666667,78.0,80.0,82.66666666666667,87.0,300,283,17,3.4381625441696113,1.0,47,78.66666666666666,82.0,84.0,87.0,89.33333333333333
splitB_train45_47_val42_44,pairwise,val,bsl,0.5900077485447156,0.653866383533807,300,265,35,1.7320754716981133,1.0,25,80.0,82.66666666666667,83.66666666666667,85.66666666666667,88.33333333333333,300,265,35,1.7245283018867925,1.0,26,79.66666666666666,83.33333333333334,83.66666666666667,85.66666666666667,88.33333333333333
splitB_train45_47_val42_44,pairwise,val,stateroll,0.4903915391952305,0.6093003727515107,300,235,65,3.5914893617021275,1.0,68,55.666666666666664,62.66666666666667,65.0,71.0,78.33333333333333,300,235,65,3.502127659574468,1.0,66,56.333333333333336,62.0,65.33333333333333,71.0,78.33333333333333
splitB_train45_47_val42_44,pairwise,val,union,0.612838432151077,0.6922034264443769,300,283,17,4.717314487632509,1.0,65,72.66666666666667,78.0,80.0,82.66666666666667,87.0,300,283,17,2.639575971731449,1.0,58,75.0,84.0,85.66666666666667,89.0,92.66666666666666
splitB_train45_47_val42_44,listwise,val,bsl,0.5900077485447156,0.7008243443979998,300,265,35,1.7320754716981133,1.0,25,80.0,82.66666666666667,83.66666666666667,85.66666666666667,88.33333333333333,300,265,35,1.4528301886792452,1.0,29,78.66666666666666,82.66666666666667,85.66666666666667,87.0,88.33333333333333
splitB_train45_47_val42_44,listwise,val,stateroll,0.4903915391952305,0.6589805762009795,300,235,65,3.5914893617021275,1.0,68,55.666666666666664,62.66666666666667,65.0,71.0,78.33333333333333,300,235,65,2.574468085106383,1.0,80,51.66666666666667,65.66666666666666,71.66666666666667,75.33333333333333,78.33333333333333
splitB_train45_47_val42_44,listwise,val,union,0.612838432151077,0.728752588169465,300,283,17,4.717314487632509,1.0,65,72.66666666666667,78.0,80.0,82.66666666666667,87.0,300,283,17,3.625441696113074,1.0,60,74.33333333333333,80.33333333333333,84.0,86.0,90.0
splitB_train45_47_val42_44,combined,val,bsl,0.5900077485447156,0.30133459896416576,300,265,35,1.7320754716981133,1.0,25,80.0,82.66666666666667,83.66666666666667,85.66666666666667,88.33333333333333,300,265,35,1.6981132075471699,1.0,26,79.66666666666666,83.33333333333334,84.33333333333334,86.0,88.33333333333333
splitB_train45_47_val42_44,combined,val,stateroll,0.4903915391952305,0.609220231945852,300,235,65,3.5914893617021275,1.0,68,55.666666666666664,62.66666666666667,65.0,71.0,78.33333333333333,300,235,65,3.3574468085106384,1.0,63,57.333333333333336,61.66666666666667,66.33333333333333,71.0,78.33333333333333
splitB_train45_47_val42_44,combined,val,union,0.612838432151077,0.6612479251536518,300,283,17,4.717314487632509,1.0,65,72.66666666666667,78.0,80.0,82.66666666666667,87.0,300,283,17,3.5159010600706715,1.0,43,80.0,83.66666666666667,84.66666666666667,86.66666666666667,89.33333333333333
