split,threshold,candidate_topk,fixed,harmed,net,switches,stateroll_only_recovered,bsl_top1,selector_top1,gate_selected,gate_rule,method,harmed_budget,w_bce,w_rank,w_raw
splitA_train42_44_val45_47,-0.928227,5,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,2,0.5,0.0,0.0
splitA_train42_44_val45_47,-0.928227,5,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,3,0.5,0.0,0.0
splitA_train42_44_val45_47,-3.163917,1,8,1,7,30,5,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,0,0.5,0.0,0.5
splitA_train42_44_val45_47,-3.163917,1,8,1,7,30,5,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,1,0.5,0.0,0.5
splitA_train42_44_val45_47,-3.163917,1,8,1,7,30,5,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,2,0.5,0.0,0.5
splitA_train42_44_val45_47,-3.163917,1,8,1,7,30,5,82.0,84.33333333333334,30,fp_le_3_max30,ensemble,3,0.5,0.0,0.5
splitA_train42_44_val45_47,-3.189022,2,5,1,4,30,4,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,0,0.5,0.0,0.5
splitA_train42_44_val45_47,-3.189022,2,5,1,4,30,4,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,1,0.5,0.0,0.5
splitA_train42_44_val45_47,-3.189022,2,5,1,4,30,4,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,2,0.5,0.0,0.5
splitA_train42_44_val45_47,-3.189022,2,5,1,4,30,4,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,3,0.5,0.0,0.5
splitA_train42_44_val45_47,-3.197514,3,6,1,5,30,5,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,0,0.5,0.0,0.5
splitA_train42_44_val45_47,-3.197514,3,6,1,5,30,5,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,1,0.5,0.0,0.5
splitA_train42_44_val45_47,-3.197514,3,6,1,5,30,5,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,2,0.5,0.0,0.5
splitA_train42_44_val45_47,-3.197514,3,6,1,5,30,5,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,3,0.5,0.0,0.5
